txt_cleaned;CodeGpt
"Mi hanno chiamato dal lavoro chiedendomi se potevo lavorare il prossimo sabato e io gli ho risposto dicendogli ""Guardate che io mercoledì faccio il vaccino, vi avevo scritto, quindi non è il caso che io lavori nel weekend"" gli ho detto ""Anzi, a proposito, vi avevo chiesto un turno leggero perchè potrei avere degli effetti collaterali"" e mi è stato risposto che si sono pescati la mail, che quindi mi hanno messo due pomeriggi e che quindi... io glieli avevo mandati due e quindi questa cosa mi ha fatto molto arrabbiare... anche perchè doveva venire un mio amico a trovarmi che subito dopo mi ha chiamato, anzi, in sottofondo mi ha chiamato quindi ho risposto poi dopo a lui e mi dice che forse non viene, non è sicuro... quindi diciamo rabbia... non ho guardato quello che stavo facendo, nel frattempo ho anche cucinato la cena, perchè poi dopo vado a lavorare ma senza rendermi conto di quello che stavo facendo in modo automatico perchè ero al telefono con le cuffie, cucinavo... tutto di corsa e quindi ora mangio però... tra poco, ho questa sensazione di anche frustrazione e rabbia... sempre il lavoro che ultimamente mi rendo conto mi provoca questa cosa e basta poco che mi sale, insomma, sensazioni molto negative. Queste sensazioni, per niente positive direi, per niente. ";11
Non ho pensato niente, nel senso che stavo seguendo un programma in tv, ero presa dalla conversazione di questo programma, quindi la mia mente un po' si è liberata.;12
Mi sono ritrovato nel mezzo di questa scogliera ed era mattina, ma una bella giornata. Però nonostante fossero tutti in costume in realtà dava un po' l'idea di essere freddo e in pratica c'era una sorta di insenatura veramente a picco sul mare, e in fondo all'insenatura c'era una lingua proprio stretta di sabbia dove, nonostante fosse mattina presto, c'erano già diverse persone. Era la Grecia. A un certo punto insieme alla mia famiglia ci ritroviamo sulla spiaggia e praticamente cerchiamo un modo per farci una foto, però nonostante io sia dentro un corpo, in realtà vedo anche un me stesso fuori dal mio corpo. Era come se io fossi la macchina fotografica e facessi le foto o comunque fossi un'altra persona che faceva le foto attraverso l'obiettivo della macchina fotografica, però al contempo io ero anche quello che era fotografato. C'è stata una foto fatta in un momento casuale, naturale, non in posa dove appunto in un momento così, colto alla sprovvista. E invece una seconda foto dove invece siamo proprio messi tutti in posa con la mia famiglia, ma in realtà in questa famiglia c'erano anche un'altra serie di persone che io sapevo fare parte della famiglia. Era appunto questa bella giornata ma nonostante fossimo in acqua sembrava che fosse freddo, cioè avevo la sensazione che fosse freddo, non ero felice ma non ero neanche triste, ero disorientato. ;13
Sono con un mio amico, un mio ex compagno di scuola, in una casa e ho con me una scatola piccolina che è identica ad una scatola che conteneva dei piccoli oggetti che i miei uhm portarono dalla Cina. E dentro questa scatola ci sono tre topolini, molto piccoli e un altro animale. Ma comunque è un po' più grande dei tre topolini. Io porto con me questa scatola data dal mio amico e la appoggio da qualche parte e poi chiacchiero con lui. Quando sto per andare via mi accorgo che la scatola si è aperta e che i topolini non ci sono più dentro, non c'è più niente e allora sono molto preoccupata perché non avevo detto il contenuto di questa scatola. E per cui niente, comincio con fare un po' distratto a cercare, guardar per terra e ritrovo i tre topini. Non ritrovo il quarto animale. Ma la cosa che mi preoccupa è quando li rimetto nella scatola che i tre topolini sono cresciuti e non ci entrano più nella scatola. E quindi, qualora anche ritrovassi il quarto animale ehm non riuscirei più a rimettercelo dentro. E con questo pensiero alla fine decido di andarmene, sempre con la mia scatola, chiusa male. E rinunciando a cercare l'altro animale, sperando che non sia la madre del mio amico a trovarla.;14
Ero in strada e una macchina strana si stava per ribaltare e cadermi sopra, poi invece si è messa a volare e all'improvviso ho visto l'immagine di un santo. E poi ho raccontato a qualcuno che avevo sognato.;15
Sto pensando a domani sera. Nello specifico mi è stato chiesto da dei miei colleghi del master di partecipare a un aperitivo e stavo pensando al fatto che non avevo molta voglia di andare, in primo luogo visto il tempo, e in secondo luogo ho anche una problematica, nel senso che sono impegnato dalle diciotto alle diciannove dando delle ripetizioni e che, dal momento che loro si vedono alle sei e mezza avrei dovuto raggiungerli dopo e questo non mi andava. E sto pensando, diciamo, al fatto, di averne o meno voglia e quindi sto cercando di prendere una decisione. ;16
Allora ero sceso in garage, a prendere una cosa, quindi sono risalito. Oggi bella giornata perché con questo sblocco in zona gialla abbiamo avuto una visita di due nostri cari amici, gli unici che possiamo vedere per sicurezza, diciamo, e quindi sono rimasti da noi, sono a cena da noi, staranno un pochino prima di tornare prima del coprifuoco. Sostanzialmente appunto giocavo con il mio amico alla playstation, incredibile insomma, un po' di relax. Eh bene, dai, piacevoli sensazioni, un po' di svago, sebbene sempre in casa ma insomma, un po' di svago ci stava.;17
Ero qui a casa e stavo riflettendo su cosa mangiare in base a un nuovo regime alimentare che ho scoperto. E quindi ero concentrata a chiedermi perché determinati alimenti si potessero mangiare e altri no, se ci fossero dei fondamenti scientifici oppure no e quanto soprattutto mi avrebbe costato a livello di gusto e di socialità. E così lasciavo un po' vagare questi miei pensieri mentre mettevo a posto la spesa e facevo altre faccende in casa.;18
Ero a casa con i miei genitori, c'era solo mia mamma e alcuni dei miei amici attuali. Eravamo a casa e stavamo pranzando e c'era tanto cibo in tavola e mia mamma lo distribuiva. C'era qualcosa di particolare, qualcosa di diverso, mi rivelava qualcosa. Era comunque una situazione di benessere e anche se io appunto mi stavo ribellando a qualcosina in generale era una situazione di benessere. C'era il sole quindi era una bella giornata, c'era una tavolata grande, mia mamma che passava questi piatti pieni da un punto all'altro del tavolo ed era sì assolutamente una bella situazione.;19
Guidavo una moto, ero entrato in un gruppo motociclistico.;20
"Sono in cucina che sto pulendo il pesce per preparare la cena di questa sera e forse per due è una delle poche volte in cui, diciamo, lo faccio volentieri perchè ho sempre odiato preparare il pesce, soprattutto pulire il pesce come ad esempio le orate, il branzino, come quello che sto pulendo proprio adesso. E' una cosa che un po' mi infastidisce, forse è noioso, non so bene mai se l'ho fatto bene o l'ho fatto male. Invece questa volta la sto vivendo in maniera più leggera perchè ho organizzato tutta la mia giornata quasi minuto per minuto e il fatto di avere tutto organizzato mi rende più serena, più tranquilla. So che devo fare quelle cose, arrivo in fondo alla giornata che le ho fatte, invece quando non ho un'organizzazione, alla fine finisco per non fare molto, mi sembra di non aver fatto niente. Invece in questa maniera sono più serena e rilassata e riesco a fare di più. E ho tutto organizzato al minuto perchè voglio andare a fare una passeggiata fuori, nel bosco, insieme al mio cane e poi ho anche chiesto ad un mio amico, qui del mio paese, se viene anche lui a fare la passeggiata insieme a noi e questo, insomma, mi rende felice, perchè passare un'ora all'aria aperta a fare una passeggiata, e poi specialmente in compagnia del mio cagnolone, è la cosa che più mi fa star bene e quindi sono super felice di fare questo. Sono rientrata dal lavoro, sono arrivata a casa, ho fatto tutto di corsa, sto preparando le verdure da mettere in forno, il pesce da mettere in forno e niente, sto percependo emozioni positive e questo mi rende felice. Sono arrivata a casa e tra l'altro avevo sempre addosso la mascherina, da lavoro. Io lavoro in un nido d'infanzia, con i bambini da zero a tre anni, il lavoro più bello del mondo, e non mi ero nemmeno resa conto di averla tolta. Sono arrivata a casa e niente, tutto bene, c'erano i miei gattini in casa che mi stavano aspettando e anche il mio ragazzo, [NAME1], che sta studiando, fra poco ha un esame, infatti mi ha detto: ""Esci di casa perchè adesso mi devo collegare, che ho un esame"". Sta facendo un corso per diventare allenatore di bambini, allenatore di calcio, e quindi sono venuta in casa di mia mamma a preparare il pesce di corsa di modo da lasciare la cucina e la sala della nostra casa in silenzio, di modo di rasserenarlo, se si dice così, di renderlo più sereno. E niente sono felice e adesso finisco di preparare il mio pesce, metto tutto nella teglia e vado a fare la passeggiata così poi, al rientro, inforno tutto e sarà tutto pronto. Oppure posso chiedere al mio ragazzo di mettere tutto in forno a lui una volta che ha finito l'esame, così abbiamo tutto ancora più organizzato e l'ottimizzazione dei tempi, che per me è veramente fondamentale, di modo che possa fare tutte le cose che, diciamo, più mi piacciono e più mi fanno stare bene.";21
In cucina con la mia coinquilina abbiamo pranzato insieme, poi abbiamo preso il caffè insieme e stavamo facendo due chiacchiere e lei mi stava mostrando qualche maglione da regalare al suo ragazzo per Natale e in particolare mi stava facendo vedere questo sito, questa marca che vende maglioni o comunque in generale tutti i prodotti ecosostenibili. Le stavo dicendo che mi sembra un'ottima scelta, ma che il prezzo è veramente eccessivo perché è un maglione costa all'incirca cento euro e a me sembra veramente tanto. E poi stavo appunto riflettendo sul fatto che è difficile riuscire a fare scelte ecosostenibili. Quindi perché, appunto, i prodotti di questo tipo sono eccessivamente costosi, quindi anche per studenti come noi... quindi persone che non hanno stipendio e non hanno delle entrate fisse, è veramente difficile, pur volendo riuscire ad acquistare, diciamo, questi prodotti che possono far bene all'ambiente, ecco. Oppure possono comunque in generale inquinare di meno, pur volendolo fare, ecco. Anche io vorrei comprare vestiti o qualsiasi cosa sostenibile che è più sostenibile, ma non ho la possibilità. Quindi stavo riflettendo su questo. ;22
Mi stavo vestendo, mi stavo preparando.;23
Ero con un collega di lavoro, la pratica stava andando avanti senza particolari tensioni, era presente un collega straniero che collaborava con noi, tra l'altro ci interfacciavamo in una lingua ma senza grandi difficoltà.;24
Oggi giro in bici pomeridiano. Sono appena rientrato. Stata una bella giornata, anche questa, senza particolari problemi. Quello che mi circonda è bellissimo, nel senso, il paesaggio è comunque bello. Passare una giornata così è comunque estremamente rilassante.;25
Ho fatto la doccia e quindi ero impegnata a cercare di districarmi i lunghi capelli. Prima di fare la doccia ho coccolato i miei cani e ho dato loro un biscotto a testa e ho pensato alla giornata di oggi, in quanto ho accompagnato il mio amoroso a fare bungee jumping per la prima volta e quindi ho ancora una scarica di adrenalina mista ad ansia addosso, anche perché, io stessa vorrei provare a fare bungin jumping, anche se l'altezza mi mette un po' di inquietudine, però è un po' una sfida con me stessa, e quindi è come se avessi questa sorta di compito da svolgere. In più sto pensando al fatto che ho mangiato la grigliata ieri sera, ho mangiato da roadhouse oggi a pranzo e stasera mangio una pizza wurstel e patatine. E quindi, insomma, ho il pensiero rivolto anche al mio inadeguato stile alimentare. E nulla. Ho pensato anche al fatto che io sia un po' indietro con le lezioni dell'università e che quindi dovrò mettermi all'opera.;26
Ho appena finito di farmi la doccia di ritorno dal mare. In realtà stavo pensando all'esperienza di oggi pomeriggio da una cosa su cui ero molto perplessa, non ero molto sicura di voler andare, invece poi si è rivelata una gran bella esperienza, cioè quanto meno molto rilassante e ho conosciuto una persona interessante anche se all'inizio avevo diciamo dei pregiudizi dovuti all'età. Invece è stato divertente quindi stavo un po' ripensando a come è andata, come è andato il pomeriggio, al fatto che effettivamente a volte mi devo forzare a fare le cose, però poi per fortuna spesso ne vale la pena. E al fatto che appunto devo cercare di uscire dalla mia comfort zone un po' più spesso probabilmente.;27
"Ero tipo in una commissione d'esame di un istituto privato e venivano a parlarmi in ufficio il vicepresidente e il presidente di questo istituto e praticamente veniva fuori che sul foglio dove veniva certificato che io facevo parte della commissione c'era il logo di [INSTITUTION1] e il presidente si incazzava perché diceva: ""no non voglio che questo logo appaia su questi fogli, va tolto da tutte le parti"", io intervenivo, dicevo: ""eh ma questo logo in realtà compare anche su quest'altro foglio"". Allora lui si incazzava con il vicepresidente e praticamente andavano via dal mio ufficio, insomma dall'ufficio dov'ero dicendo che avrebbero tolto il logo e che non ci doveva stare. ";28
Sono stato concentrato a pensare all'attività di ricerca. Ho riflettuto in merito ad alcuni suggerimenti, email che ho ricevuto, e sto leggendo un bel po' di papers per quanto riguarda appunto le possibilità di ricerca. Mi sento abbastanza concentrato. Sto cercando di rimanere, appunto, su ciò che mi serve riguardante la ricerca, senza divagare troppo nella letteratura e negli articoli scientifici, che possono causare molta dispersione. Ho avuto alcuni scambi di mail, anche riguardanti le esercitazioni di microeconomia. Mi sono sentito con i ragazzi e abbiamo accordato di fissare le esercitazioni nei prossimi giorni. Stavo anche aspettando di fare un incontro di counseling con la psicologa del lavoro per inquadrare un pochettino meglio i miei obiettivi. ;29
Sono appena tornato da mangiare, ero a mangiare con mio cugino più piccolo e mio fratello. Sono stati bene, ora comincia a salire la stanchezza post pranzo. Però abbiamo mangiato bene, è stato un ottimo pranzo.;30
Eravamo andati in un bosco di montagna eh io il mio ragazzo e lo zio del mio ragazzo, il fratello. Ehm c'era la neve e ci siamo fatti delle foto con la neve e poi c'è stato tipo tanto vento e così che è arrivata ancora più neve. E allora siamo ritornati sullo stesso punto in cui avevamo fatto la foto per vedere quanta neve in più era stata fatta. Ehm poi mi sono ritrovata che dovevamo andare a [PLACE1] o alle [PLACE2], al mare, con le moto, i motorini, vespe. Ehm e mentre andavamo giù eravamo sempre io e il mio ragazzo, il fratello e un amico del fratello del mio ragazza. Eh e mentre andavamo giù tra i tornanti eh ci siamo fermati su uno spiazzo perché c'erano dei fiori e li volevo raccogliere, quindi ci siamo fermati lì un po' per vedere il bel vedere e poi per raccogliere i fiori. Ero felice in entrambe le situazioni. Poi erano venuti giù da questa scarpata dei cagnolini piccolini, bianchi di cui uno s'era rotolato tanto per terra e volevo anche accarezzarlo e gli altri invece sono scappati. Poi è arrivato questo vento che portava ancora più neve per cercare di far scappare questo cane che era rimasto lì a a terra a rotolarsi.;31
Allora, lasciato e ho fatto tutte le cose che bisognava fare, ma mi stavo sistemando alcune cose e quindi questo.;32
In realtà ho visto un po' di sorteggi di Europa League, di Conference. Insomma, delle coppe europee. Stamattina sono andato a cantare, è stato piacevole, è stato bello. Insomma, cominciamo un po' a lavoricchiare che sto imparando un po' di cosette per capire come cantare, insomma, un po' di cosette tecniche. Anche oggi giornata abbastanza tranquilla, appunto, il fatto che l'altro ieri ho fatto la riunione con i miei prof forse ancora mi dà tranquillità. E quindi non sto lavorando troppo, però va bene così. In realtà ieri sera poi ho fatto tardi per lavorare. Vabbè comunque non so perché sto a dire tutte queste cose. Comunque vabbè, insomma, questo.;33
"Purtroppo o per fortuna si mette via il telefono e non si guarda, quindi non avevo visto... non mi ero resa conto dell'ora. Sì sapevo appunto che era l'ora di cena, avevamo fatto piuttosto tardi e tutto quanto però non pensavo così tardi. Comunque sia, niente, stavo pensando, oggi in maniera diciamo più positiva rispetto anche ad altre volte, perchè non lo so, forse mi va così per chissà per quale strano motivo... stavo pensando a quanto spesso gli uomini, poi vabbè, può capitare logicamente anche a determinati tipi di donne, a chi magari non ha avuto un'educazione di questo tipo durante la crescita... comunque sia a quanto magari non pensino alle piccole cose che ci possono essere da fare in una casa, ad esempio mi è capitato adesso che [NAME1], il mio ragazzo, non avesse visto che sopra il cuscino della testata del divano c'era una coperta che utilizziamo apposta per, ricoprire la pizza, per la lievitazione, e ovviamente non voglio che stia sul divano e quindi mi è toccato a me fargli notare dove aveva lui appoggiato la testa e che in parte toccava con la sua testa la coperta della pizza e che non voglio no? E lui mi ha risposto: ""Ma non l'avevo mica visto, non ce l'ho mica messa io qui"". Ho capito che non ce l'hai messa te ma puoi vedere un po' le cose?"". Tantissime volte insomma mi capita che mi dice: ""Ma non ci avevo neanche fatto caso, non l'ho neanche vista"". E si, mi può dar noia, perchè dico: ""Cavolo, puoi avere un occhio di riguardo in più?"", altre volte ci rido sopra perchè dico: ""Vedi come proprio non sono abituati"". Non è abituato magari a dopo cena dover vedere la cucina tutta in ordine, e quindi sapere che sul tavolo non voglio vederci cose particolari se non le piantine grasse che ci tengo come, diciamo, decorazione per tutto il resto della giornata, tranne che nei pasti no? E non ci fanno proprio caso. C'è poco da fare. E' inutile starci a litigare e a ridirgli le cose. Però non c'è verso. Secondo me, appunto, non lo fa con cattiveria, però sono così e mi rendo conto che sì, ho detto gli uomini, perchè magari mi è capitato di più con determinati tipi di uomini, più con gli uomini, e però anche ad esempio una mia amica è un pochettino più confusionaria e meno attenta, così, quindi può capitare sia negli uomini che nelle donne. E comunque sia sì, non riesco a trovar pace, neanche un attimo, forse ora che ho parlato mi sono messa sul letto a parlare e mi sono fermata un attimo, però non riesco proprio a non far le cose. Per me, mettersi sul divano, anche a guardare un film, è tempo perso. Dopo mi agito e mi sento in colpa. O dormo oppure devo essere in movimento, mentalmente e fisicamente soprattutto. E' più forte di me e dopo ci credo che son stanca e dopo [NAME1] mi dice: ""Dopo non ti lamentare se sei stanca, se dormi male. Non trovi pace"". Ha ragione, in parte ha ragione, ma è più forte di me, cioè faccio proprio fatica a stare ferma. Non ci posso stare. Anche a cena stasera abbiamo fatto la pizza. Fra una pizza e l'altra ho fatto le diverse teglie, così, in forno. Quando magari c'era da aspettare che cuocesse bene la pizza o le pizze che erano in forno io nel mentre c'avevo da lavare tutti gli utensili che avevamo utilizzato in cucina e non resto ferma al tavolino a chiacchierare. Sì posso continuare appunto a chiacchierare con le persone che sono a cena con noi o semplicemente con [NAME1], però devo essere in movimento. E poi, siccome appunto voglio sempre vedere la cucina in ordine, mi dà fastidio vedere tutti gli utensili all'aria e allora lo faccio fra, diciamo, una portata e l'altra, un piatto e l'altro, e una pizza e l'altra. Così. Eh, vabbè.";34
"Ero in una qualche campagna tipo sarda, tipo pugliese, una campagna brulla, così, e presso una cascina io ero stato assegnato ad accompagnare un vip. Questo vip esce tutto di soppiatto da una siepe, insomma, io ero fuori dalla macchina e quando esce muore o scompare, svanisce, insomma, non c'è più. Allora nello stupore degli altri due guardiani che erano tipo proprio del classico aspetto dei sardi, bassini, col gilet, col cappellino, tipo stile antico, stile mafioso antico, misto tra siciliani. E venivano:""no devi trasportarne un altro"", perché io sarei stato il guidatore, e allora va bene scruto questa macchina, guardo questa macchina, e vedo che questa macchina era smontata, cioè era una macchina talmente piccina, smontabile insomma quasi, mi danno una valigia e mi dicono ""tieni monta pedali e il volante"". Mah, ma questa macchina era piccola, tonda, sembrava a forma di goccia, tutta aperta, mancava il vip era diventato Minnie. Io devo trasportare Minnie. E comincio con uno di questi sardi siciliani e comincio a montare, cioè apro questa valigetta e comincio a montare la pedaliera.";35
Stavo parlando prima con mia madre e poi con mio padre della strada da fare. Uhm, mia madre mi parlava di passare da un certo posto eventualmente per vedere ehm un concerto in cui ci doveva essere un suo ex, se mi interessava o meno e poi mio padre mi diceva che per passare uhm da lì bisognava prendere una strada alternativa sul ponte che attraversa il Po per andare da [PLACE1] verso [PLACE2] insomma sul ponte di [PLACE2] cioè rimanere sulla destra e poi girare all'altezza del ponte, anzi già sul ponte, lui mi diceva per prendere quella strada lì. C'erano proprio le macchine, ero dentro la macchina, mentre la prima parte quella in cui discutevo con mia madre era fatta a un bar dove mia madre leggeva un giornale insieme ad altre persone e vedeva questa cosa scritta direttamente sul giornale.;36
Delle strade, stavo camminando, però avevo la certezza di dove stare andando, quindi non c'era uno stato confusionale, solo una passeggiata, così, senza senso.;37
Stavo riposando, avevo chiuso un attimo gli occhi, quindi avevo fatto un piccolo sonnellino. Ma non ho sognato durante questo sonnellino, non so, il fatto penso che forse non ho sogni, diciamo, intensi, forse anche dovuto dal fatto che mi deve arrivare il ciclo. Ma un periodo in cui adesso non ho molto da dire.;38
Ero in una casa condivisa con altri studenti. Io ero appena arrivato, cioè da poco mi ero trasferito là. Avevo la sensazione proprio di avere le chiavi nelle mani. Era al secondo piano, il 29a, l'appartamento. C'erano delle persone che conoscevo. C'era la lavanderia al piano meno uno. E continuavo ad andare avanti e indietro, a prendere l'ascensore, scendere. E la mia paura peggiore era di non avere l'Express Card, ma mancava qualcos'altro. C'erano dei problemi sentimentali, per quanto riguarda ragazze. Ragazze che mi passavano per la testa.;39
Cose della fisica: formule, equazioni e io ci stavo sopra, ci ragionavo, stavo a casa a [PLACE1], dentro la camera, apriamo le finestre, era tutto pieno di neve sotto casa.;40
Ero concentrata sulla lezione che è online. Niente, ero seduta in ufficio e avevo le studentesse collegate tramite Webex.;41
Sono stata all'Eurospin fatto acquisti, pagato, preso la macchina, andata a casa. Nel frattempo ho avuto una conversazione con un vicino di casa parlando di un cane che si vedeva in giro e adesso ho messo il cibo nel frigo nel freezer. Non ho esattamente avuto tempo di provare sensazioni. Quindi mi sono sentita occupata, mi sono leggermente preoccupata per l'esame di domani, ma non troppo. Adesso mi metto lì, studio, quindi adesso sto provando anche un po' quella sensazione prima di doversi mettere a fare qualcosa. Anticipazione, ma negativa. E anche fame.;42
Un po' di tristezza e c'era il sole, ho sentito proprio la sveglia che suonava e man mano mi domandavo che cosa stesse succedendo, da dove venisse questo suono.;43
Sono stato abbastanza contento perché insomma, ho fatto delle attività che mi hanno stimolato la mia mente e che mi hanno interessato, appassionato e ho comunque avuto pensieri produttivi e ingegnosi. Per così dire.;44
"Eravamo alla riunione di ricerca del mio vecchio gruppo di ricerca di [PLACE1], e uno dei ricercatori, un matematico, presentava i suoi futuri studi e faceva vedere uno studio in cui c'erano due task, uno in cui dovevi trovare una parola in base alla definizione data a due o tre altre parole, e l'altra in cui dovevi trovare la stessa parola fra delle lettere che erano fra di loro scrambled. E lui voleva comprare queste due cose qua e le presentava con le slide, io ero seduto in platea e che stavo discutendo con un mio vecchio collega di altre cose e quando lui tornò in platea io gli chiedo come può fare a comparare queste due esperimenti dal momento che sono due aspetti cognitivi completamente diversi cioè in uno vai a fare un aspetto motorio di movimento e le lettere nell'altra è invece un aspetto di pura associazione. E lui si stava un pochino alterando. Mi stava prendendo in giro su questa cosa qui e nel mentre tra me e lui c'era [NAME1] che è un'altra ricercatrice che mi prendeva bonariamente in giro dicendo ""ecco vedi hai fatto arrabbiare il matematico"".";45
Sono tornata da poco da lavoro, a casa. Sono giornate un po' stressanti queste, infatti adesso mi riposo un pochino sul divano, guardando magari un film. E poi riparto verso le sei e un quarto per tornare a lavoro. Sono giornate stressanti. Mi sento molto, stanca, ma non tanto fisicamente, forse, più che altro mentalmente. Ho bisogno un attimino di staccare, staccare, staccare. Però no, non c'è modo.;46
Ballavo in piazza [PLACE1] a [PLACE2] con una gonna da gitana, tipo Esmeralda. Ero vestita tipo Esmeralda, però questa gonna era fatta da un patchwork, c'era tipo un collage di fogli di riviste di moda. Non c'era la musica, cioè io ballavo, ma non c'era la musica.;47
Un inseguimento con un connotato un po' ansiogeno.;48
