CodeRef;Code;trad_French;txt_cleaned;CodeGpt;ClaSon_raw_ens;ClaSon_conf_ens;TRUE_ClaSon;length_report;Valeur_Dream;Wake_Dream;Git_raw;Git_conf;ClaSon=Git;TRUE_Claude_Haiku 4.5;Gem;Gem_conf;TRUE_Gemini_Pro 3.1;SonnetGitCelia;SonnetGitCelia_conf;True_Claude_Sonnet 4.6;ClaSon=ClaGitCelia;Justif_compar_sonnet;Clas_Enzo;Confidence_Enzo;True_Human_expert;Justification_Enzo;Conf_Humanlike_ClaudeSonnetGitCelia;Enzo=Claude;conf claude erreur;True_Elce_Weight;;;Models;nmbr fautes;% de fautes ;moyenne conf;conf erreur;median erreur;median ;txt_length_errors;%Accuracy;;;;;;;;
DL068;;;"Mi hanno chiamato dal lavoro chiedendomi se potevo lavorare il prossimo sabato e io gli ho risposto dicendogli ""Guardate che io mercoledì faccio il vaccino, vi avevo scritto, quindi non è il caso che io lavori nel weekend"" gli ho detto ""Anzi, a proposito, vi avevo chiesto un turno leggero perchè potrei avere degli effetti collaterali"" e mi è stato risposto che si sono pescati la mail, che quindi mi hanno messo due pomeriggi e che quindi... io glieli avevo mandati due e quindi questa cosa mi ha fatto molto arrabbiare... anche perchè doveva venire un mio amico a trovarmi che subito dopo mi ha chiamato, anzi, in sottofondo mi ha chiamato quindi ho risposto poi dopo a lui e mi dice che forse non viene, non è sicuro... quindi diciamo rabbia... non ho guardato quello che stavo facendo, nel frattempo ho anche cucinato la cena, perchè poi dopo vado a lavorare ma senza rendermi conto di quello che stavo facendo in modo automatico perchè ero al telefono con le cuffie, cucinavo... tutto di corsa e quindi ora mangio però... tra poco, ho questa sensazione di anche frustrazione e rabbia... sempre il lavoro che ultimamente mi rendo conto mi provoca questa cosa e basta poco che mi sale, insomma, sensazioni molto negative. Queste sensazioni, per niente positive direi, per niente. ";11;W;95;0;1284;0;0;W;88;1;0;W;95;0;W;94;0;1;;;;;;5;;;0;;;;;;;;;;;;;;;;;;;2500 Je jouais à quelque chose qui ressemblait à un jeu vidéo ou je regardais un film, il y avait une immense carte et je me jetais à l'eau, je nageais énormément et je finissais hors de cette carte conceptuellement utilisable et ensuite je devais faire face à une série de dangers, de choses, mais elles étaient insurmontables donc c'était plutôt une fuite, tourner en rond, mais comme on le fait dans un jeu vidéo, ne pas réussir à surmonter un obstacle et donc tourner autour dans cette petite carte et faire des choses en m'ennuyant surtout. C'était comme des monstres, la carte était un quai, au début c'était moi qui nageais, donc il y a eu ce changement-là. C'était toujours la nuit, tout était sombre, je nageais. Puis à un certain moment ça s'est transformé directement en une expérience que je voyais de l'extérieur.
DL152;;;Non ho pensato niente, nel senso che stavo seguendo un programma in tv, ero presa dalla conversazione di questo programma, quindi la mia mente un po' si è liberata.;12;W;95;0;164;0;0;W;75;1;0;W;95;0;W;95;0;1;;;;;;5;;;0;;;;;;;;;;;;;;;;;;;"2501 Je transcrivais un cours de neuropharmacologie, et donc j'essayais, en somme, de comprendre tous les différents mécanismes ; et je réfléchissais aussi au fait que, même aujourd'hui, comme bien d'autres fois, je me sens fatiguée sans raison valable, étant donné que j'ai dormi neuf heures, peut-être même plus, et donc, en somme, je réfléchissais à ça. Je pensais aussi au fait que ce soir il y aura un barbecue chez moi et donc j'ai hâte de manger, de me gaver."
XDL113;DL113;;Mi sono ritrovato nel mezzo di questa scogliera ed era mattina, ma una bella giornata. Però nonostante fossero tutti in costume in realtà dava un po' l'idea di essere freddo e in pratica c'era una sorta di insenatura veramente a picco sul mare, e in fondo all'insenatura c'era una lingua proprio stretta di sabbia dove, nonostante fosse mattina presto, c'erano già diverse persone. Era la Grecia. A un certo punto insieme alla mia famiglia ci ritroviamo sulla spiaggia e praticamente cerchiamo un modo per farci una foto, però nonostante io sia dentro un corpo, in realtà vedo anche un me stesso fuori dal mio corpo. Era come se io fossi la macchina fotografica e facessi le foto o comunque fossi un'altra persona che faceva le foto attraverso l'obiettivo della macchina fotografica, però al contempo io ero anche quello che era fotografato. C'è stata una foto fatta in un momento casuale, naturale, non in posa dove appunto in un momento così, colto alla sprovvista. E invece una seconda foto dove invece siamo proprio messi tutti in posa con la mia famiglia, ma in realtà in questa famiglia c'erano anche un'altra serie di persone che io sapevo fare parte della famiglia. Era appunto questa bella giornata ma nonostante fossimo in acqua sembrava che fosse freddo, cioè avevo la sensazione che fosse freddo, non ero felice ma non ero neanche triste, ero disorientato. ;13;D;93;0;1369;1;1;D;90;1;0;D;90;0;D;85;0;1;;;;;;4;;;0;;;;;;;;;;;;;;;;;;;2502 Je suis sur le lit, je me repose un peu. La classique sieste d'après-déjeuner, et j'écoute un podcast qui s'intitule « Ci vuole una scienza » (Il faut de la science). Donc, évidemment, il parle de sujets scientifiques, des nouveautés du point de vue de la recherche ou des sujets d'actualité, des fake news qui sont démenties, etc. Très intéressant. Et j'ai l'intention d'étudier un peu d'anglais, je vais faire au moins une révision, donc je pensais faire ça. Et ensuite je devrai sortir faire un peu de courses. Et je pense que je m'ennuie un peu parce qu'il pleut pratiquement, mais je dois le faire absolument parce que je n'ai rien à manger. Et pour l'instant je ne pensais à rien d'autre, je me repose simplement un peu.
XDL075;DL075;;Sono con un mio amico, un mio ex compagno di scuola, in una casa e ho con me una scatola piccolina che è identica ad una scatola che conteneva dei piccoli oggetti che i miei uhm portarono dalla Cina. E dentro questa scatola ci sono tre topolini, molto piccoli e un altro animale. Ma comunque è un po' più grande dei tre topolini. Io porto con me questa scatola data dal mio amico e la appoggio da qualche parte e poi chiacchiero con lui. Quando sto per andare via mi accorgo che la scatola si è aperta e che i topolini non ci sono più dentro, non c'è più niente e allora sono molto preoccupata perché non avevo detto il contenuto di questa scatola. E per cui niente, comincio con fare un po' distratto a cercare, guardar per terra e ritrovo i tre topini. Non ritrovo il quarto animale. Ma la cosa che mi preoccupa è quando li rimetto nella scatola che i tre topolini sono cresciuti e non ci entrano più nella scatola. E quindi, qualora anche ritrovassi il quarto animale ehm non riuscirei più a rimettercelo dentro. E con questo pensiero alla fine decido di andarmene, sempre con la mia scatola, chiusa male. E rinunciando a cercare l'altro animale, sperando che non sia la madre del mio amico a trovarla.;14;D;97;0;1205;1;1;D;85;1;0;D;80;0;D;70;0;1;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;2503 J'étais tranquille parce que j'étais chez un ami et nous parlions de tout et de rien, de tout ce qui nous était arrivé ces derniers jours, des choses professionnelles, de tout, et je me sentais très tranquille et insouciante.
XDL131;DL131;;Ero in strada e una macchina strana si stava per ribaltare e cadermi sopra, poi invece si è messa a volare e all'improvviso ho visto l'immagine di un santo. E poi ho raccontato a qualcuno che avevo sognato.;15;D;99;0;206;1;1;D;92;1;0;D;99;0;D;97;0;1;;;;;;5;;;0;;;;;;;;;;;;;;;;;;;2504 Je suis un peu pressée parce que je me suis rendu compte que j'avais énormément de choses à faire, que je n'ai pas réussi à faire. Ça me fait de la peine parce que la journée semble déjà terminée, mais j'aurais envie de faire encore pas mal de choses. Le problème c'est que ma journée est toujours décalée, donc en réalité quand je devrais sortir dîner, c'est le moment où je devrais travailler le plus. La chose est cependant assez incompatible avec d'autres activités de type plus social, etc. Et quoi qu'il en soit tout va bien, j'ai pas mal de pensées en tête. On verra un peu comment se passent les prochaines heures. Je pense avoir fait beaucoup d'erreurs et s'il y a un moyen d'y remédier. Et de toute façon mieux vaut ne pas trop se forcer, laisser aller et voir un peu comment les événements évoluent. Le problème c'est toujours l'attente, voilà. Donc j'ai pensé un peu à ça.
DL052;;;Sto pensando a domani sera. Nello specifico mi è stato chiesto da dei miei colleghi del master di partecipare a un aperitivo e stavo pensando al fatto che non avevo molta voglia di andare, in primo luogo visto il tempo, e in secondo luogo ho anche una problematica, nel senso che sono impegnato dalle diciotto alle diciannove dando delle ripetizioni e che, dal momento che loro si vedono alle sei e mezza avrei dovuto raggiungerli dopo e questo non mi andava. E sto pensando, diciamo, al fatto, di averne o meno voglia e quindi sto cercando di prendere una decisione. ;16;W;98;0;568;0;0;W;88;1;0;W;95;0;W;96;0;1;;;;;;5;;;1;;;;;;;;;;;;;;;;;;;2505 J'étais dans mon supermarché préféré à fureter dans les rayons, pas du côté alimentation mais du côté bricolage et DIY. Et donc, voilà, j'étais très intéressée, curieuse et captivée par des objets qui peuvent améliorer la vie quotidienne. Chaque fois que j'entre dans des magasins de cette chaîne, j'éprouve toujours une sensation d'émerveillement et presque de bien-être.
DL026;;;Allora ero sceso in garage, a prendere una cosa, quindi sono risalito. Oggi bella giornata perché con questo sblocco in zona gialla abbiamo avuto una visita di due nostri cari amici, gli unici che possiamo vedere per sicurezza, diciamo, e quindi sono rimasti da noi, sono a cena da noi, staranno un pochino prima di tornare prima del coprifuoco. Sostanzialmente appunto giocavo con il mio amico alla playstation, incredibile insomma, un po' di relax. Eh bene, dai, piacevoli sensazioni, un po' di svago, sebbene sempre in casa ma insomma, un po' di svago ci stava.;17;W;97;0;564;0;0;W;85;1;0;W;95;0;W;94;0;1;;;;;;5;;;1;;;Haiku;98;9,680638723;;;;;;;;;;;;;;2506 J'étais avec des personnes, j'étais avec une amie. Nous avons essayé de réserver la pizzeria pour ce soir, mais nous n'y sommes pas arrivées. Cependant, j'étais assez tranquille, assez contente. Aussi parce que la journée d'aujourd'hui a été assez productive, malgré le fait que c'était dimanche. Et voilà, c'est plus ou moins ça. Maintenant autour de moi je suis seule. Je suis passée une seconde à la salle d'étude, mais tout est tranquille. Enfin, rien de notable.
DL069;;;Ero qui a casa e stavo riflettendo su cosa mangiare in base a un nuovo regime alimentare che ho scoperto. E quindi ero concentrata a chiedermi perché determinati alimenti si potessero mangiare e altri no, se ci fossero dei fondamenti scientifici oppure no e quanto soprattutto mi avrebbe costato a livello di gusto e di socialità. E così lasciavo un po' vagare questi miei pensieri mentre mettevo a posto la spesa e facevo altre faccende in casa.;18;W;96;0;446;0;0;W;80;1;0;W;95;0;W;92;0;1;;;;;;5;;;0;;;;;;;;;;;;;;;;;;;2507 Je suis un peu fatiguée, quelques pensées négatives m'accompagnent. On me propose de sortir, mais je n'en ai pas envie. C'est comme si je me sentais un peu apathique ces derniers temps.
XDL007;DL007;;Ero a casa con i miei genitori, c'era solo mia mamma e alcuni dei miei amici attuali. Eravamo a casa e stavamo pranzando e c'era tanto cibo in tavola e mia mamma lo distribuiva. C'era qualcosa di particolare, qualcosa di diverso, mi rivelava qualcosa. Era comunque una situazione di benessere e anche se io appunto mi stavo ribellando a qualcosina in generale era una situazione di benessere. C'era il sole quindi era una bella giornata, c'era una tavolata grande, mia mamma che passava questi piatti pieni da un punto all'altro del tavolo ed era sì assolutamente una bella situazione.;19;D;72;0;585;1;1;D;75;1;0;D;85;0;D;72;0;1;;;;;;2;;;0;;;Gemini;43;8,78243513;;;;;;;;;;;;;;2508 J'étais sur une scène au travail, différente cependant, aussi bien l'endroit où j'étais que la scène elle-même, et certaines des personnes étaient des collègues de mon lieu de travail. Sur la scène des gens se produisaient, j'étais derrière et je regardais, mais tout partait à vau-l'eau, c'était très amusant à voir.
XDL130;DL130;;Guidavo una moto, ero entrato in un gruppo motociclistico.;20;D;75;0;58;1;1;D;70;1;0;D;80;0;D;76;0;1;;;;;;2;;;0;;;;;;;;;;;;;;;;;;;2509 Des insectes, mais ce n'étaient pas vraiment des insectes, c'étaient de petites choses qui marchaient et qui me dégoûtaient assez. J'étais immobile et ces choses marchaient vers moi, toutes ces petites choses. Et c'est tout, et je sentais qu'elles me dégoûtaient.
DL051;;;"Sono in cucina che sto pulendo il pesce per preparare la cena di questa sera e forse per due è una delle poche volte in cui, diciamo, lo faccio volentieri perchè ho sempre odiato preparare il pesce, soprattutto pulire il pesce come ad esempio le orate, il branzino, come quello che sto pulendo proprio adesso. E' una cosa che un po' mi infastidisce, forse è noioso, non so bene mai se l'ho fatto bene o l'ho fatto male. Invece questa volta la sto vivendo in maniera più leggera perchè ho organizzato tutta la mia giornata quasi minuto per minuto e il fatto di avere tutto organizzato mi rende più serena, più tranquilla. So che devo fare quelle cose, arrivo in fondo alla giornata che le ho fatte, invece quando non ho un'organizzazione, alla fine finisco per non fare molto, mi sembra di non aver fatto niente. Invece in questa maniera sono più serena e rilassata e riesco a fare di più. E ho tutto organizzato al minuto perchè voglio andare a fare una passeggiata fuori, nel bosco, insieme al mio cane e poi ho anche chiesto ad un mio amico, qui del mio paese, se viene anche lui a fare la passeggiata insieme a noi e questo, insomma, mi rende felice, perchè passare un'ora all'aria aperta a fare una passeggiata, e poi specialmente in compagnia del mio cagnolone, è la cosa che più mi fa star bene e quindi sono super felice di fare questo. Sono rientrata dal lavoro, sono arrivata a casa, ho fatto tutto di corsa, sto preparando le verdure da mettere in forno, il pesce da mettere in forno e niente, sto percependo emozioni positive e questo mi rende felice. Sono arrivata a casa e tra l'altro avevo sempre addosso la mascherina, da lavoro. Io lavoro in un nido d'infanzia, con i bambini da zero a tre anni, il lavoro più bello del mondo, e non mi ero nemmeno resa conto di averla tolta. Sono arrivata a casa e niente, tutto bene, c'erano i miei gattini in casa che mi stavano aspettando e anche il mio ragazzo, [NAME1], che sta studiando, fra poco ha un esame, infatti mi ha detto: ""Esci di casa perchè adesso mi devo collegare, che ho un esame"". Sta facendo un corso per diventare allenatore di bambini, allenatore di calcio, e quindi sono venuta in casa di mia mamma a preparare il pesce di corsa di modo da lasciare la cucina e la sala della nostra casa in silenzio, di modo di rasserenarlo, se si dice così, di renderlo più sereno. E niente sono felice e adesso finisco di preparare il mio pesce, metto tutto nella teglia e vado a fare la passeggiata così poi, al rientro, inforno tutto e sarà tutto pronto. Oppure posso chiedere al mio ragazzo di mettere tutto in forno a lui una volta che ha finito l'esame, così abbiamo tutto ancora più organizzato e l'ottimizzazione dei tempi, che per me è veramente fondamentale, di modo che possa fare tutte le cose che, diciamo, più mi piacciono e più mi fanno stare bene.";21;W;99;0;2822;0;0;W;88;1;0;W;95;0;W;93;0;1;;;;;;5;;;0;;;SonnetGitCelia;133;4,433333333;;;;;;;;;;;;;;"2510 J'étais en voiture, en fait je me trouvais sur le siège arrière d'une voiture qui n'est pas la mienne, elle appartient à mes parents, et nous parcourions une route de montagne avec des lacets. Il faisait nuit, et nous étions justement au milieu d'une forêt. À côté du siège où j'étais, il y avait aussi mon compagnon [NAME1]. Nous étions proches d'un endroit imaginaire, très similaire cependant à [PLACE1]. Une fois arrivés là j'avais l'appareil photo et on commence à marcher. Justement, toujours dans le noir, et au milieu de cette forêt. Et j'avais dit que je voulais voir une sorte de petite maison qui avait été laissée à l'abandon parce qu'avant il y avait un shérif et maintenant il n'y en avait plus. Donc j'étais intéressée à la prendre pour en faire, dans le bilocal du bas, un studio photo, et y faire des expositions photographiques, tandis que dans la partie du haut sous les combles il y avait pratiquement une sorte de mansarde, je voulais l'aménager comme habitation pour m'y installer. Et donc voilà, pratiquement pour atteindre cette petite maison nous passons dans ce petit sentier, en bord de route jusqu'au moment où cependant un orage ou en tout cas une tempête s'était précédemment produit, qui avait fait tomber des arbres sur le sentier ; et donc ils bloquaient le passage, et donc nous étions contraints de traverser un petit pont. Puis de là nous transférer sur des rochers et à ce moment-là nous devions plonger dans la rivière qui séparait la route du sentier. Sauf qu'elle était assez haute parce qu'il y avait trente, quarante mètres, à peu près. Et de l'autre côté, ils avaient réussi à arriver, disons à dépasser les arbres, il y avait déjà mes parents, quelques amis, [NAME2], un ami à moi, et [NAME3], un autre ami à moi. Et avec moi il y avait, il y avait seulement [NAME1], mon petit ami. Et donc je lui dis : « Non, écoute [NAME1], il faut absolument sauter parce que c'est le seul moyen d'aller de l'autre côté. » Il me fait : « Mais comment c'est possible ? Eux ils sont secs, ils seront passés par un autre endroit ! » Et j'ai fait : « Non, parce que les peurs il faut les vaincre. » Et donc je lui dis : « Écoute, nous devons sauter coûte que coûte ! » « Non, mais j'ai peur ! » Puis j'ai fait : « Écoute, je passe en premier comme ça tu vois que ce n'est pas dangereux. » Et donc voilà, je plonge depuis ce rocher et, justement, il y avait trente, quarante mètres de vide avant l'eau. Et je plonge en chandelle. L'impact avec l'eau cependant est tranquille, en réalité c'était comme si j'avais plongé depuis un mètre. C'est-à-dire dans le sens où c'est vrai que la phase de chute était très longue, au moment où je me suis jetée jusqu'au moment où j'ai touché l'eau, ma perception était qu'il s'était écoulé beaucoup de temps. Quoi qu'il en soit de là, je suis entrée doucement dans l'eau. Une fois arrivée dans l'eau je vois que [NAME1] était déjà sur la rive et je fais : « Mais quand tu as sauté ? C'est-à-dire j'ai fait : « je suis sautée avant toi et je suis atterrie. » « Non, non. J'ai fait comme Tarzan avec la liane » et là j'ai fait : « moi je me serais plus amusée ! » Et à ce moment-là, peu après dans notre marche nous arrivons à atteindre cette petite maison. On entre par une petite pièce carrée sur la gauche de la maison. La pièce était moche, dans le sens où, de toute façon, la maison est mal entretenue, même si elle n'est pas sale. Les murs sont blancs avec une ligne bordeaux à peu près à hauteur de tête d'homme, donc un mètre quatre-vingts. Une bande d'environ, ce n'est pas étroit, je pense qu'elle faisait dans les vingt centimètres, qui longe tout le périmètre de la pièce. Et en faisant le tour de ce carré, on accède ensuite à une autre pièce par deux marches et à travers une porte, enfin, il n'y avait pas de porte en réalité : à travers une arche cependant au carré, c'est-à-dire comme s'il y avait l'espace pour loger la porte, mais sans le battant qui fermait. Et ça mène dans l'autre pièce rectangulaire, elle aussi blanche. Et celle-ci aussi avait une ligne toujours à hauteur d'homme, toujours de vingt centimètres, qui longeait tout le périmètre de la pièce, mais au lieu d'être bordeaux elle était verte, vert forêt à peu près, vert foncé. Et disons que ça m'a beaucoup plu et surtout parce que, disons, le village où nous étions la donnait. Personne n'en voulait. Et donc disons avant de dire oui, je vais voir le haut parce que de toute façon je dois y habiter et je voulais voir la chambre où j'aurais dû loger. Pour accéder à la partie supérieure, celle des combles, nous devions passer par l'extérieur, il y avait une échelle en bois à barreaux qui était posée à l'arrière de la maison. Je la monte et bien que ça semblait petit de l'extérieur, à l'intérieur c'était vraiment grand. Des dimensions de quatre-vingt-dix mètres carrés, alors qu'en réalité au maximum ça devait faire dans les dix mètres carrés. Et je dis : « Mais comment c'est possible ? Non ? C'est-à-dire il n'y a pas tout cet espace à vue d'œil ! » Et mon père me fait : « Non, non, mais parce qu'il y a une illusion d'optique, donc ça te semble grand, en réalité c'est petit, mais il y a beaucoup d'espace pour mettre tes affaires. » Et donc bon d'accord, alors c'est fait, dans le sens où je m'installe ici, ça a toujours été mon rêve et j'organiserai justement le studio photo pour les sports outdoor et pour quand il y a besoin justement pour des événements. Je ne sais pas s'ils organisent des stages d'été ou des stages d'hiver, je ferai les photos ici, dans ce contexte-là. Sur ce, tout contente, alors moi avec mes parents, avec mes amis, avec mon petit ami, nous décidons d'aller fêter cet achat, bon disons ce cadeau. Et donc nous nous déplaçons un peu plus haut, dans un autre petit village qui était identique à [PLACE2], très similaire, dans un établissement. J'arrive au comptoir et les autres sont déjà assis, ils ont déjà commandé, j'étais toujours là, avec le menu devant moi à décider quoi prendre, et à la fin je décide de prendre une boisson à base de mangue, de pistache et au-dessus je lui avais fait mettre de la crème avec de la granola à la pistache dessus. Il faut un peu de temps pour la préparer, ils me la donnent, je vais m'asseoir avec les autres."
