Code;Txt_francais;D/W;Confiance;Justification
2510;"2510 J'étais en voiture, en fait je me trouvais sur le siège arrière d'une voiture qui n'est pas la mienne, elle appartient à mes parents, et nous parcourions une route de montagne avec des lacets. Il faisait nuit, et nous étions justement au milieu d'une forêt. À côté du siège où j'étais, il y avait aussi mon compagnon [NAME1]. Nous étions proches d'un endroit imaginaire, très similaire cependant à [PLACE1]. Une fois arrivés là j'avais l'appareil photo et on commence à marcher. Justement, toujours dans le noir, et au milieu de cette forêt. Et j'avais dit que je voulais voir une sorte de petite maison qui avait été laissée à l'abandon parce qu'avant il y avait un shérif et maintenant il n'y en avait plus. Donc j'étais intéressée à la prendre pour en faire, dans le bilocal du bas, un studio photo, et y faire des expositions photographiques, tandis que dans la partie du haut sous les combles il y avait pratiquement une sorte de mansarde, je voulais l'aménager comme habitation pour m'y installer. Et donc voilà, pratiquement pour atteindre cette petite maison nous passons dans ce petit sentier, en bord de route jusqu'au moment où cependant un orage ou en tout cas une tempête s'était précédemment produit, qui avait fait tomber des arbres sur le sentier ; et donc ils bloquaient le passage, et donc nous étions contraints de traverser un petit pont. Puis de là nous transférer sur des rochers et à ce moment-là nous devions plonger dans la rivière qui séparait la route du sentier. Sauf qu'elle était assez haute parce qu'il y avait trente, quarante mètres, à peu près. Et de l'autre côté, ils avaient réussi à arriver, disons à dépasser les arbres, il y avait déjà mes parents, quelques amis, [NAME2], un ami à moi, et [NAME3], un autre ami à moi. Et avec moi il y avait, il y avait seulement [NAME1], mon petit ami. Et donc je lui dis : « Non, écoute [NAME1], il faut absolument sauter parce que c'est le seul moyen d'aller de l'autre côté. » Il me fait : « Mais comment c'est possible ? Eux ils sont secs, ils seront passés par un autre endroit ! » Et j'ai fait : « Non, parce que les peurs il faut les vaincre. » Et donc je lui dis : « Écoute, nous devons sauter coûte que coûte ! » « Non, mais j'ai peur ! » Puis j'ai fait : « Écoute, je passe en premier comme ça tu vois que ce n'est pas dangereux. » Et donc voilà, je plonge depuis ce rocher et, justement, il y avait trente, quarante mètres de vide avant l'eau. Et je plonge en chandelle. L'impact avec l'eau cependant est tranquille, en réalité c'était comme si j'avais plongé depuis un mètre. C'est-à-dire dans le sens où c'est vrai que la phase de chute était très longue, au moment où je me suis jetée jusqu'au moment où j'ai touché l'eau, ma perception était qu'il s'était écoulé beaucoup de temps. Quoi qu'il en soit de là, je suis entrée doucement dans l'eau. Une fois arrivée dans l'eau je vois que [NAME1] était déjà sur la rive et je fais : « Mais quand tu as sauté ? C'est-à-dire j'ai fait : « je suis sautée avant toi et je suis atterrie. » « Non, non. J'ai fait comme Tarzan avec la liane » et là j'ai fait : « moi je me serais plus amusée ! » Et à ce moment-là, peu après dans notre marche nous arrivons à atteindre cette petite maison. On entre par une petite pièce carrée sur la gauche de la maison. La pièce était moche, dans le sens où, de toute façon, la maison est mal entretenue, même si elle n'est pas sale. Les murs sont blancs avec une ligne bordeaux à peu près à hauteur de tête d'homme, donc un mètre quatre-vingts. Une bande d'environ, ce n'est pas étroit, je pense qu'elle faisait dans les vingt centimètres, qui longe tout le périmètre de la pièce. Et en faisant le tour de ce carré, on accède ensuite à une autre pièce par deux marches et à travers une porte, enfin, il n'y avait pas de porte en réalité : à travers une arche cependant au carré, c'est-à-dire comme s'il y avait l'espace pour loger la porte, mais sans le battant qui fermait. Et ça mène dans l'autre pièce rectangulaire, elle aussi blanche. Et celle-ci aussi avait une ligne toujours à hauteur d'homme, toujours de vingt centimètres, qui longeait tout le périmètre de la pièce, mais au lieu d'être bordeaux elle était verte, vert forêt à peu près, vert foncé. Et disons que ça m'a beaucoup plu et surtout parce que, disons, le village où nous étions la donnait. Personne n'en voulait. Et donc disons avant de dire oui, je vais voir le haut parce que de toute façon je dois y habiter et je voulais voir la chambre où j'aurais dû loger. Pour accéder à la partie supérieure, celle des combles, nous devions passer par l'extérieur, il y avait une échelle en bois à barreaux qui était posée à l'arrière de la maison. Je la monte et bien que ça semblait petit de l'extérieur, à l'intérieur c'était vraiment grand. Des dimensions de quatre-vingt-dix mètres carrés, alors qu'en réalité au maximum ça devait faire dans les dix mètres carrés. Et je dis : « Mais comment c'est possible ? Non ? C'est-à-dire il n'y a pas tout cet espace à vue d'œil ! » Et mon père me fait : « Non, non, mais parce qu'il y a une illusion d'optique, donc ça te semble grand, en réalité c'est petit, mais il y a beaucoup d'espace pour mettre tes affaires. » Et donc bon d'accord, alors c'est fait, dans le sens où je m'installe ici, ça a toujours été mon rêve et j'organiserai justement le studio photo pour les sports outdoor et pour quand il y a besoin justement pour des événements. Je ne sais pas s'ils organisent des stages d'été ou des stages d'hiver, je ferai les photos ici, dans ce contexte-là. Sur ce, tout contente, alors moi avec mes parents, avec mes amis, avec mon petit ami, nous décidons d'aller fêter cet achat, bon disons ce cadeau. Et donc nous nous déplaçons un peu plus haut, dans un autre petit village qui était identique à [PLACE2], très similaire, dans un établissement. J'arrive au comptoir et les autres sont déjà assis, ils ont déjà commandé, j'étais toujours là, avec le menu devant moi à décider quoi prendre, et à la fin je décide de prendre une boisson à base de mangue, de pistache et au-dessus je lui avais fait mettre de la crème avec de la granola à la pistache dessus. Il faut un peu de temps pour la préparer, ils me la donnent, je vais m'asseoir avec les autres.";;;
2511;2511 J'étais fiancée avec un garçon qui est un ami à moi. Quoi qu'il en soit j'étais avec lui et un soir nous étions sortis avec d'autres amis, d'autres couples, enfin. Et voilà, c'était comme un soir d'été, enfin nous étions tous en centre-ville, sortis tous ensemble. Et nous allions vers une sorte de petite machine qui se trouvait dans cette place de cette ville. Et il y avait une machine qui faisait des glaces, mais c'était un genre de self-service, quelque chose du genre. Et donc on mange cette glace. Et ensuite il devait y avoir un déjeuner chez lui. Quoi qu'il en soit, enfin, à un certain moment nous étions chez lui à faire un déjeuner. Il y avait aussi toujours lui, ce fiancé fantôme.;;;
2512;2512 Il y avait des délinquants, quelque chose lié à la légalité, quelque chose lié à la pègre.;;;
2513;2513 Je conduisais une voiture bordeaux monospace. C'était peut-être une Nissan Serena et le paysage alentour était désertique, mais avec quelques plantes, un peu comme le début du Sud de l'Italie, peut-être même plus exotique.;;;
2514;2514 Je me sens fatigué et anxieux.;;;
2515;2515 Mes amis me racontaient une de leurs soirées dans un endroit que nous ne fréquentons habituellement pas. Euh, ils me racontaient ce qui s'était passé à un certain moment de la soirée, qu'ils avaient rencontré quelqu'un d'inconnu, ils s'étaient mis à bavarder dans les toilettes etc., à partir de là ces personnages qu'ils avaient rencontrés sont devenus des personnes peintes dans un tableau et moi, comme si j'étais entré dans le tableau, je suis entré dans l'histoire de ces personnes qui, comme par magie, toujours au même endroit, donc dans le local qui ne l'était plus, des années auparavant étaient des bandits, des hors-la-loi armés d'épées et d'armes blanches qui s'étaient introduits dans cet endroit, avaient été faits prisonniers, avaient été torturés, avaient combattu. Puis on revient à parler dans un bar de ça, de qui ils étaient ou pas, elles pouvaient être ces personnes qui avaient cependant aussi un compte Instagram.;;;
2516;"2516 À peine la leçon de [NAME1] terminée — ce sont des sujets particulièrement ennuyeux — bref, à la fin [NAME1] a appelé moi et [NAME2] ainsi pour discuter d'une réunion que nous avions eue ce matin ; au début cet appel m'a mis, du moins à moi, dans un léger état d'inquiétude parce que je pensais qu'il voulait nous mettre davantage de pression sur le travail que nous devons faire parce qu'en effet c'est un travail qui devient plus important que prévu, donc voilà, et puis en réalité justement en nous appelant en réalité ça a été plus agréable que prévu dans le sens qu'il s'est proposé de nous envoyer du matériel utile pour développer le travail, donc en réalité justement cette légère inquiétude s'est dissipée et justement en réalité lui-même m'a relativement rassuré sur la chose, et voilà puis en revenant vers [INSTITUTION1] j'ai entendu cette collègue qui me enverra probablement un patient pour une évaluation, donc je suis content, un autre patient disons pour l'étude.";;;
2517;2517 Aujourd'hui j'ai travaillé dehors toute la journée et ensuite je me suis arrêtée à dîner avec des amis et des collègues. C'a été une journée très épuisante mais aussi très belle, très satisfaisante. J'étais à dîner avec des amis et c'était relaxant, une soirée sympa. Ce que je peux dire : un peu de fatigue, beaucoup de sommeil et un peu d'inquiétude parce que j'ai pris du retard sur certaines choses de travail, mais je compte demain matin tôt les affronter donc je ne suis pas si angoissée mais je sais que voilà j'ai beaucoup à faire et donc... je suis un peu, enfin, je dois encore régler les choses mais je suis fatiguée et je dois aller dormir. Et donc il y a un peu ça... pour le reste disons assez de satisfaction.;;;
2518;2518 Il y avait des insectes mais ce n'étaient pas vraiment des insectes, c'étaient des choses étranges, minuscules, [MISS] qui se multipliaient très rapidement et si elles s'approchaient de toi elles te changeaient pour ainsi dire la personnalité. Et en pratique j'étais sortie avec mes amis, et à un moment donné genre, je voyais que ceux-ci faisaient des choses bizarres, genre qu'ils étaient obnubilés par les plantes, disaient des choses étranges, avaient un regard fixé dans le vide, devenaient violents, et en pratique parce que ceux-là avaient été, euh, disons, euh, contaminés par ces petits organismes stupides, qui cependant c'est-à-dire ils étaient vraiment nombreux et ils étaient vraiment tous fous, et ils étaient pleins de ces choses, et donc, et voilà, à un moment disons qu'ils étaient vraiment méchants, parce qu'ils vivaient en symbiose, c'est-à-dire, ils étaient tous ensemble, exactement comme si c'était une secte, parce qu'en réalité ces organismes, c'est-à-dire, cherchaient à créer un seul être énorme pour conquérir le monde probablement. Et donc à un moment ces gens faisaient des choses bizarres, et moi je ne savais pas quoi faire parce que je ne devais pas me faire attraper par eux, je n'étais pas avec eux parce que moi je pensais un peu : « Ah tu vois parce que moi j'utilise une quantité de gel hydroalcoolique pour les mains » mais j'avais très peur d'être infectée moi aussi par ces petits organismes, mais à un moment c'était la pagaille parce que moi j'étais là à faire semblant de : « Uh ah oui à moi aussi j'aime les plantes », mais ceux-ci étaient soupçonneux, et moi j'étais là et je dis : « Mince ils vont me démasquer et me tuer et ou m'infecter » et donc j'étais là, puis à un moment j'ai dit : « Ah écoute j'ai un rendez-vous chez le médecin, et donc c'est-à-dire que je dois rester un peu seule » et genre en réalité j'ai croisé, pendant que je marchais, une fille que je connais, et à cette fille je lui ai dit, presque quand j'étais sur le point de lui faire la bise, parce qu'ensuite ils ne me lâchaient pas, ils voulaient tous m'accompagner absolument partout et je ne pouvais pas [MISS]. Et donc à un moment je me suis approchée pour lui faire la bise et je lui ai dit : « Ces gens-là veulent me tuer, je suis prise en otage. » Et c'est devenu la pagaille, et genre au milieu de ça ceux-ci s'en sont aperçus et ont commencé à l'infecter elle aussi, et donc c'est-à-dire que c'est un putain de foutoir. Et je ne savais pas quoi faire et puis genre j'allais à vélo et je devais changer le stationnement du vélo, mais j'étais en retard alors, puis une voiture rentrait.;;;
2519;2519 Je travaillais sur un projet de recherche. J'essayais d'écrire un article scientifique. Mais il y avait des choses que je n'arrivais vraiment pas à comprendre. C'était un travail sur les activations du cerveau lors d'activations du système nerveux au niveau périphérique et donc j'appelais sur Skype, avec connexion à distance, un collègue qui travaille sur ce sujet et je lui demandais des éclaircissements. Je parlais avec lui en me faisant expliquer ce qu'étaient différents paramètres pour différentes mesures que je ne comprenais pas.;;;
2520;2520 Ce que je vois en sortant de chez moi, d'une des deux maisons où j'ai habité à [PLACE1]. Et en face de moi s'ouvre un très beau panorama urbain, avec au loin ce que je sais être une université. Et puis la chose qui m'émerveille c'est que l'arc est immense, qui se trouve au milieu d'immeubles. Ils construisent une sorte d'amphithéâtre de garages. Euh une chose pas très belle à voir, mais je la trouve très ingénieuse, même si je me demande comment ils font ensuite, étant donné que je les vois très serrés, très étroits entre une rangée et l'autre, pour passer avec la voiture. Et puis je pense eh bien mais tout sera couvert et donc il y aura un beau jardin. Et je penserai « Ah quel dommage de ne plus être là maintenant que la ville devient de plus en plus belle ».;;;
2521;2521 Je suis dans ma chambre, je viens de finir de prendre une douche après m'être entraînée et je pense à plein de choses toutes en même temps. Par exemple que je m'entraîne trop en ce moment, je ne rentrerai bientôt plus dans mon pantalon, à quel point je gonfle dans les jambes, et je dois absolument me couper les cheveux parce qu'ils commencent à devenir de la paille. Et que dans cette chambre il fait vraiment trop chaud, chaque fois que je finis de me laver je suis de nouveau en sueur, comme si c'était le quinze août.;;;
2522;2522 J'ai discuté de projets possibles. Et en fait, pendant la discussion, l'esprit vagabondait un peu, parce que... je suis ici à [PLACE1], donc on voyait la lagune avec le brouillard qui montait et donc ça me distrayait un peu et je me demandais... quelle image absurde, imagine si de l'autre côté du brouillard tout disparaissait.;;;
2523;2523 Un numéro en tête que je continuais à répéter de manière obsessionnelle mais qui étrangement changeait toujours, chaque fois que j'essayais de le répéter comme avant. Quelque chose comme le numéro trois deux cinq sept neuf, ce genre de chose, mais ce n'était pas toujours le même numéro : c'était comme si c'était un code de tapis. Mais c'était aussi un numéro de téléphone. Je ne voyais pas d'images, je n'entendais pas de voix, je n'avais pas de sensations particulières, sinon un numéro, un numéro à cinq, six chiffres que je continuais à me répéter.;;;
2524;2524 J'étais à l'intérieur d'une arène type Colisée, nous étions des gladiateurs mais à notre époque et non à celle des Romains, nous ne combattions pas mais il y avait une confrontation générationnelle.;;;
2525;2525 Mes pensées, les images que je voyais, tournaient principalement autour des sujets dont on avait discuté hier avec les amis, et donc des questions liées aux vacances de Noël, aux déplacements, et aussi des thèmes plus proches de l'archéologie, de l'histoire de l'art. Et puis il y avait aussi encore quelques résidus certainement du weekend que j'ai passé chez moi, donc des sons, des images, des questions liées à la musique.;;;
2526;2526 Aujourd'hui c'était mon anniversaire et donc j'étais contente de tous les vœux que j'ai reçus et il y avait aussi la manifestation pour la libération de [PLACE1] du nazifascisme, le cinq septembre mil neuf cent quarante-quatre, et j'ai participé à la manifestation organisée par [MISS]. Et cependant voilà j'étais avec ces personnes de [MISS] mais pas nombreuses et toujours un peu les mêmes et c'est un peu décevant. Donc j'étais un peu, à ce moment-là, avec des sensations de faire quelque chose de bien mais je ne sais pas à quel point d'utile parce que peu suivi et puis nous avancions aussi un peu lentement donc j'avais aussi un peu envie à ce moment-là de me détacher et de faire une promenade plus constructive pour mon propre compte.;;;
2527;2527 J'étais en cours et je me sentais très fatiguée parce que j'avais été dehors toute la matinée, et puis j'avais couru au cours de quatorze heures à dix-huit heures. Et le cours en lui-même était un beau cours. Le professeur expliquait clairement, j'essayais de suivre, mais j'étais un peu perdue et j'attendais avec impatience que ça finisse.;;;
2528;2528 J'attends de faire le cours d'anglais. Et bon, honnêtement je pense que je ne pense à rien et je suis juste un peu fatiguée parce que j'ai fait le voyage en train. Je suis ici devant l'ordinateur, en attente de commencer l'appel. Je ne pensais à rien de particulier.;;;
2529;2529 Je fredonnais mentalement la chanson de Pino Daniele, c'était la chanson « io per lei, ho due occhi da bambino, na na se sei tu il mio destino allora portami via », et voilà avec le désir que mon compagnon soit un peu plus attentif à mon égard.;;;
2530;2530 C'était moi et mon petit ami qui nous promenions dans un bourg, une ville médiévale, qui ressemblait vraiment à un croisement entre [PLACE1], [PLACE2] et qui avait aussi quelque chose de [PLACE3]. En réalité, nous nous promenions dans cette rue qui était assez étroite avec deux trottoirs, mais nous nous promenions au milieu de la rue parce que de toute façon elle était fermée à la circulation. Nous marchions en direction du Nord jusqu'au moment où nous arrivons sur une place, elle aussi fermée à la circulation des voitures. Pour la circulation des voitures pouvaient y passer des motos, des scooters, des trottinettes, etc. Une place qui de toute façon n'était pas très grande. Elle était assez encadrée par des immeubles et au centre de la place il y avait une zone verte, un espace, il y a un trottoir où l'on avait fait de la verdure avec de l'herbe et des arbres. Moi, si je me souviens bien, ça ressemblait à une sorte de cèdres ou de toute façon deux grands pins. D'ailleurs, selon moi ils étaient très anciens. Et tandis que nous faisions le tour de la place main dans la main, je remarque qu'il y a un événement juste au centre de la petite place où il y avait une dame très mince, avec des cheveux courts en carré qui était en train de faire défiler des filles. Donc curieuse je m'approche. Enfin, avec mon petit ami, pour mieux voir ce qui se passait. Et pendant que nous étions là à regarder et qu'il y avait cette dame qui dirigeait les choses, de toute évidence elle pensait que les filles étaient des incompétentes. Elle se retourne et me voit avec une petite robe : la robe était faite avec des bretelles d'environ deux ou trois centimètres de largeur, du côté du corsage elle couvrait pratiquement seulement la partie de la poitrine et n'avait pas un décolleté profond. Elle était assez droite. Une fois descendue sous la poitrine elle descendait en revanche en douceur avec une jupe évasée jusqu'aux pieds. Et elle me fait : « Toi tu es parfaite parce que tu n'essaies pas de faire un défilé avec nous ? » et moi là au début j'étais un peu hésitante, non ? Mais c'est-à-dire que le défilé ça ne me correspond pas. Je ne me sens pas à l'aise. « Non », j'insiste. Et pendant qu'elle disait ça, elle dit. « Écoute, parce qu'ensuite tu n'as pas seulement à défiler, mais tu dois aussi faire un défi » et là, enfin, disons que ça commence à devenir un peu plus intéressant, parce que défiler vraiment non, mais le défi enfin, ça m'intéressait comme activité en fait : « mais de quoi s'agit-il ? » « Eh bien, tu connais ce qu'est la Sartiglia Sartigliedda » et j'ai dit oui ». Et elle fait : « voilà parfait ! » et elle appelle un autre monsieur là-bas je crois, le responsable toujours du défilé. Et elle l'appelle : « Viens ici, viens ici. » Donc il vient et dit : « Voilà, écoute, elle serait parfaite pour faire la partie de la sartigliedda ». « Sais-tu conduire une moto ? » et j'ai fait : « mais écoute, je n'ai jamais fait de moto moi. C'est-à-dire, seulement comme passagère, mais jamais pour la conduire, donc je ne sais même pas comment utiliser les vitesses » et [NAME1], mon petit ami, essayait quand même de me convaincre de partir et moi je fais : « non bon, allez, voyons de quoi il s'agit » et pendant que nous étions là il va chercher cette moto qui est une Royal Enfield assez grande et me fait : « écoute, on fait comme ça : je m'assieds sur le siège arrière, la tête devant je te donne ce ce sabre comme tu sais très bien comment le tenir en main. On fait que c'est moi qui conduis la moto, tu t'occupes seulement d'être devant et d'avancer en direction jusqu'à ce que tu n'aies pas [MISSING] l'étoile que tu dois viser avec l'épée justement. » D'ailleurs, pratiquement le défi était essentiellement celui-ci, pratiquement l'une des rues du bourg serait jonchée de sciure et avec la moto nous devions accélérer jusqu'au moment où nous nous serions approchés de cette étoile métallique suspendue en l'air avec en son centre un trou et avec le sabre il fallait viser le trou et décrocher l'étoile du fil, enfin, qui la retenait. Et donc ils me font faire cet essai, ils me font habiller en tenue et ils me mettent pratiquement sur cette moto Royal Enfield et seulement pour me faire essayer ils me font pratiquement faire le tour de la place avec la moto et pendant que pendant que je suis là avec la moto je me sens piquer le bras. Je fais : « mais qu'est-ce qu'ils font ? » « non, tranquille c'est quelque chose qu'il faut faire de nécessaire » et j'ai fait : « bon d'accord ». Donc on fait, disons le test et j'y arrive quand même, j'arrive à prendre l'étoile et donc toute satisfaite je vais vers [NAME1] et je fais : « tu as vu ? [NAME1] j'y suis arrivée ». « Eh oui, mais il y a eu un problème » il m'a fait : « C'est vrai, justement on m'a piqué le bras ! » « donc maintenant tu vas devenir un vampire » j'ai fait : « non ? Qu'est-ce que ça veut dire ? » « Ah non, non, maintenant tu verras, maintenant tu verras ». Effectivement j'avais envie de mordre des personnes pour leur sucer le sang, donc pratiquement disons nous saluons celles du défilé et elles nous recommandent de nous faire trouver à une adresse, à une heure déterminée du soir et moi je fais : « d'accord, d'accord, on se verra plus tard ». Donc nous marchions, nous rentrions vers le sud et nous avons commencé à nous disputer sur cette histoire de piqûre au bras. Et je lui dis moi : « mais qu'est-ce que tu as comme problèmes ? C'est-à-dire tu m'aimerais quand même même si j'étais un vampire ? » il fait : « Eh non, je ne peux pas parce que moi les vampires je les tue ». J'ai fait : « Mais c'est moi, je ne suis pas un vampire ! », enfin, à ce moment-là il essayait de me faire changer d'avis parce que d'une façon ou d'une autre il savait comment me faire revenir. Mais moi quand même je me sentais forte, je me sentais encore plus rapide, je ne me sentais pas prête à revenir en arrière dans la partie humaine. Quoi qu'il en soit, je disais, il y aurait sûrement un moyen quand même d'être le vampire, de ne pas faire de mal aux gens. Et lui cependant voulait me transformer à tout prix en humaine. Et donc pendant que nous marchions vers le sud je me lasse de cette situation et j'essaie de me dégager de l'emprise de [NAME1] et de fuir. Et en effet je suis beaucoup plus rapide et je cours. Et cependant je vois qu'il me poursuit quand même et j'essaie de me cacher quelque part, sauf que je suis dans cet endroit où il n'y a pas d'endroits réels pour se cacher. Jusqu'au moment où je n'arrive pas dans une zone qui semble être [PLACE4] et je me souviens qu'un ami à moi [NAME2] y habite et donc je cours chez lui. Je fais : « Écoute [NAME2] j'ai besoin d'asile. Je me cache de [NAME1], il ne doit absolument pas me trouver » « oui, oui, pas de problèmes, écoute, je t'ouvre la petite maison d'à côté que je loue habituellement. Il y a aussi la piscine, tu te mets là avec mon chien. Enfin, sois tranquille, si tu veux c'est disponible. » Il y a aussi des maillots de bain et donc pratiquement avec le maillot je suis là à la piscine. Tranquille jusqu'au moment où je dis : « bon, maintenant je dois partir, je dois rentrer à la maison, j'essaie de te laisser. » Et donc disons, je me rhabille je recommence à m'enfoncer dans les petites rues et cependant je vois que [NAME1] me suit encore, c'est-à-dire qu'il me cherche et il a trouvé [NAME3]. Alors je fuis à nouveau, j'essaie de retourner chez [NAME2], où cependant cette fois personne ne répond à la sonnette et donc j'essaie de me faufiler dans une petite ruelle dans le bois derrière chez lui. Et en plus, pendant que je suis là, cachée dans un arbre, j'entends que dans le village voisin quelqu'un est en train d'indiquer à [NAME1] où il m'avait vue, qui entre-temps s'approche et moi je continue à fuir entre bois et ces bourgs médiévaux, donc dans les environs, jusqu'au moment où je me réveille.;;;
2531;2531 Je viens de finir de me laver les cheveux donc je me peignais devant le miroir en pensant à quel point une coupe de cheveux fait une différence dans la perception qu'on a de sa propre image, et aussi que ce moment de la journée me plaît vraiment beaucoup parce que je n'ai rien à penser, je fais quelque chose d'absolument mécanique et je peux ne faire que ça sans aucune autre pensée particulière.;;;
2532;2532 Des scènes imaginaires, se référant cependant à un final d'une série TV, The Americans, qui parle d'espions russes à [PLACE1]. Ces deux protagonistes marchaient dans la rue la nuit, sur une rue mouillée. Euh à l'extérieur il faisait très froid. Ces deux personnages, mari et femme, sont suivis par l'agent du FBI qui euh dans le dernier épisode les découvre, ils ne fuyaient pas mais s'éloignaient euh et ils s'éloignaient oui de l'agent du FBI mais justement ils ne couraient pas parce qu'ils avaient un lien, voilà, et moi c'était comme si j'étais toujours un spectateur, mais j'étais avec eux dans ce qui se passait et c'était réel, ce n'était pas de la fiction. Une profonde tristesse de ma part envers ces personnes qui pour fuir étaient contraintes d'abandonner leurs enfants. Et à un certain moment ils parlent de nouveaux biscuits de la Mulino Bianco. Et le protagoniste masculin dit que le nom correct de ces biscuits, puisqu'ils ressemblaient à des petits nuages de bandes dessinées, devait s'appeler Notes, comme bloc-notes.;;;
2533;2533 Je suis rentrée chez les parents de mon petit ami après un déjeuner dehors et je me suis réveillée parce que je m'étais endormie en voiture. Je suis montée et nous avons parlé un peu de ce que je peux me porter à [PLACE1], par exemple des restes. Et mon sac qui contenait une bonne partie de mes cosmétiques m'est tombé et donc en ce moment je me sens assez triste. J'espère que rien ne s'est cassé, je vérifie maintenant. Je suis un peu déprimée en ce moment, jusqu'à avant que ça tombe, tout allait bien, j'étais heureuse d'avoir déjeuné dehors et j'étais contente aussi qu'on emporte des restes parce que ça signifie qu'on n'a pas à cuisiner lundi et c'est bon. Et c'est tout, j'espère que rien ne s'est cassé.;;;
2534;2534 Je travaillais sur l'ordinateur en laboratoire. Et je me sens un peu fatigué parce que ce matin je me suis réveillé tôt, mais au-delà de ça je me sens aussi très satisfait parce que j'ai terminé le travail que je faisais depuis un certain temps. Et je me sens aussi assez libre justement parce que j'ai terminé ce travail.;;;
